,ID_TURMA,TX_HR_INICIAL,NU_DURACAO_TURMA,QT_MATRICULAS,TP_ETAPA_ENSINO,NU_DIAS_ATIVIDADE,CO_ENTIDADE,CD_GEOCODI,AGE_AVG_STUDENTS,AGE_STD_STUDENTS,NUM_TEACHERS_x,AGE_AVG_TEACHERS_x,AGE_STD_TEACHERS_x,NUM_TEACHERS_y,AGE_AVG_TEACHERS_y,AGE_STD_TEACHERS_y
512,11957358,13.0,240.0,6,2.0,5.0,31210609,313820000000000.0,4.0,0.0,1,32.0,0.0,1,32.0,0.0
513,11957454,13.0,240.0,4,2.0,5.0,31210609,313820000000000.0,5.0,0.0,1,32.0,0.0,1,32.0,0.0
514,12009366,13.0,240.0,19,2.0,5.0,31202878,313820000000000.0,5.0,0.0,2,48.0,8.48528137423857,2,48.0,8.48528137423857
515,12009050,13.0,240.0,21,2.0,5.0,31202878,313820000000000.0,3.9047619047619047,0.30079260375911915,2,46.5,10.606601717798213,2,46.5,10.606601717798213
516,12009488,13.0,255.0,18,14.0,5.0,31202878,313820000000000.0,5.944444444444445,0.23570226039551587,3,42.333333333333336,10.214368964029708,3,42.333333333333336,10.214368964029708
517,12009562,13.0,255.0,19,15.0,5.0,31202878,313820000000000.0,6.947368421052632,0.2294157338705618,2,51.5,3.5355339059327378,2,51.5,3.5355339059327378
518,12009984,7.0,255.0,29,19.0,5.0,31202878,313820000000000.0,11.586206896551724,0.9070061182385529,8,48.875,11.36960233002268,8,48.875,11.36960233002268
519,12010238,13.0,255.0,21,14.0,5.0,31202878,313820000000000.0,5.9523809523809526,0.21821789023599233,2,55.5,2.1213203435596424,2,55.5,2.1213203435596424
520,12010450,13.0,255.0,21,16.0,5.0,31202878,313820000000000.0,8.0,0.4472135954999579,2,52.5,2.1213203435596424,2,52.5,2.1213203435596424
521,12010497,13.0,255.0,16,17.0,5.0,31202878,313820000000000.0,9.625,0.806225774829855,2,53.5,0.7071067811865476,2,53.5,0.7071067811865476
522,12010628,13.0,255.0,26,18.0,5.0,31202878,313820000000000.0,10.5,0.7615773105863908,2,53.0,1.4142135623730951,2,53.0,1.4142135623730951
523,12011034,7.0,255.0,31,20.0,5.0,31202878,313820000000000.0,12.451612903225806,0.7228973960122488,8,49.75,7.611082145698562,8,49.75,7.611082145698562
524,12011314,7.0,255.0,29,21.0,5.0,31202878,313820000000000.0,13.379310344827585,0.8200084103858012,8,52.75,9.895886591335383,8,52.75,9.895886591335383
525,12011353,7.0,255.0,32,41.0,5.0,31202878,313820000000000.0,14.4375,0.7156093726283558,8,49.875,9.109453488390116,8,49.875,9.109453488390116
526,12011382,7.0,255.0,24,41.0,5.0,31202878,313820000000000.0,14.541666666666666,0.8329709356935241,8,49.875,9.109453488390116,8,49.875,9.109453488390116
527,12012194,13.0,255.0,19,15.0,5.0,31202878,313820000000000.0,7.157894736842105,1.0145145470035764,3,52.333333333333336,12.583057392117915,3,52.333333333333336,12.583057392117915
528,12012240,7.0,255.0,30,21.0,5.0,31202878,313820000000000.0,13.566666666666666,0.9352607356658146,8,51.875,9.140764269390795,8,51.875,9.140764269390795
529,12012283,7.0,265.0,28,21.0,5.0,31202878,313820000000000.0,13.321428571428571,0.6696362433535823,8,52.75,9.895886591335383,8,52.75,9.895886591335383
530,12012323,13.0,255.0,21,16.0,5.0,31202878,313820000000000.0,7.9523809523809526,0.3842122429322725,2,49.5,6.363961030678928,2,49.5,6.363961030678928
531,12012373,7.0,255.0,34,41.0,5.0,31202878,313820000000000.0,14.5,0.861640436855329,8,49.875,9.109453488390116,8,49.875,9.109453488390116
532,12012384,13.0,255.0,15,17.0,5.0,31202878,313820000000000.0,9.133333333333333,0.7432233529572069,2,52.0,2.8284271247461903,2,52.0,2.8284271247461903
533,12012443,13.0,255.0,28,18.0,5.0,31202878,313820000000000.0,10.428571428571429,0.9200874124564723,2,53.0,1.4142135623730951,2,53.0,1.4142135623730951
534,12012545,7.0,255.0,27,19.0,5.0,31202878,313820000000000.0,11.37037037037037,0.6877023141843228,8,48.875,11.36960233002268,8,48.875,11.36960233002268
535,12012558,7.0,255.0,26,20.0,5.0,31202878,313820000000000.0,13.115384615384615,1.3061982415214948,6,44.333333333333336,12.290918056299402,6,44.333333333333336,12.290918056299402
536,12012562,7.0,255.0,30,19.0,5.0,31202878,313820000000000.0,11.366666666666667,0.5560534167675356,8,48.875,11.36960233002268,8,48.875,11.36960233002268
